wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run y7rq6e80
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /data/share/lijiang/250010178/250010178/debug_tmp_6*6for4/wandb/run-20251230_074112-y7rq6e80
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-cloud-2
wandb: ⭐️ View project at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6
wandb: 🚀 View run at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6/runs/y7rq6e80
Using device: cuda
Game 364 | Winner: 1 | Loss: 2.7094 | Steps: 33
Game 365 | Winner: 1 | Loss: 2.4264 | Steps: 35
Game 366 | Winner: -1 | Loss: 2.5848 | Steps: 32
Game 367 | Winner: -1 | Loss: 2.6171 | Steps: 34
Game 368 | Winner: 0 | Loss: 2.4322 | Steps: 36
Game 369 | Winner: -1 | Loss: 2.3007 | Steps: 36
Game 370 | Winner: 0 | Loss: 2.6432 | Steps: 36
Game 371 | Winner: -1 | Loss: 2.3674 | Steps: 34
Game 372 | Winner: -1 | Loss: 2.8180 | Steps: 34
Game 373 | Winner: 1 | Loss: 2.5324 | Steps: 35
Game 374 | Winner: -1 | Loss: 2.2992 | Steps: 32
Game 375 | Winner: -1 | Loss: 2.4075 | Steps: 34
